04368a56-c959-3e4b-8b3d-f4cc3538fea5,OFF CAMPUS,null
2cc50da3-ef0e-3572-a557-ca44930a0688,32,249
ebbf62b4-2ac3-356b-b0fa-7897f4446a17,32,B101
ed828265-475b-31b4-b9a8-daec2a600449,32,549
b277dc8e-bab1-3a12-bc17-48d4a364d297,32,349
bab1dd92-c641-3d28-abd5-50c9573c480b,32,510
9759cb5f-a7d3-3d0c-b8b3-03910bd0153e,469,2441
6af80b0b-b3e3-370a-925f-829869f007bc,469,4411
50322d30-dd8f-3c65-9a75-78c5ff29d62c,469,2511
b7211db3-303f-3605-bead-237e1f663932,469,1341
fcd8990c-8a4d-36e2-b91f-70838750da26,469,2401
350c7321-2d4c-3485-8e0c-8005a6f5ac3d,469,2411
f4781736-d27f-3902-9095-5b856acb6db3,469,2340
2285075b-51f6-394d-8ba8-ef068e004edc,469,1321
43a08e18-1ab4-397d-83c0-d0e9a0f2588e,469,1351
b80de0f7-d1e1-3084-8760-ab290d8f1011,469,1111
7b776ed8-d084-35d9-b60e-b6cf93ef09b9,48,B107
3528555b-eb1a-3923-a86b-db064d4dbe09,48,B113
53ea6c62-a690-3fb5-94eb-2a6d0fc40c3e,48,B321
050bf5dc-0068-3a37-b5fc-2c27c1992cc4,48,B203
df02a59b-dd8a-3442-98c4-d3f6f27e82d7,48,B219
8d659803-7689-3965-bedc-fbf8018024a7,18,3250
43e727bc-0d0b-368f-b706-8d5678731b8e,48,B325
5579d792-a761-36fd-9b95-cf85e7b4b18f,56,216
ce6c40d7-80e0-3c98-9359-05ee0437b490,56,215
e9baf33d-0f75-3a29-b8ea-73d8b54fb7bd,56,225
bac62c9d-21d2-3b8e-81bf-8b60ae7edb33,46,5231
4951625e-9f56-397d-8b2f-b773bf40c97a,56,120
50dca7fd-6826-32e9-9646-98552762f158,482,491
fcfe5452-818b-314b-818a-573505509aa8,56,224
7b8bd2e8-1081-39b7-881f-381ed351ae8d,56,113
abb075de-4bc9-3498-a302-306ecc27df32,46,6203
dd13e5fb-2423-34ab-92a0-15a325a2a3dd,482,114
e32b4d6d-975c-3ce7-90b0-4b2c32517d95,48,B239
65b5e024-7db1-3422-bb23-5f5b99189b58,57,1335
7203acc6-25c6-3418-aff1-34bd5d2d6c05,57,2335
b064608e-905d-3cf1-a931-4f30796fb917,57,1339
2b57b421-6c9f-3d88-9299-21b41c693446,469,2261
6edab472-33e6-38fe-8e31-e33ef6ca0ac6,57,1310
8a5ba190-e255-3e64-a811-7c61798768ea,453,110
b9bd8fe2-64ea-3240-a949-501588f9370d,56,223
dd6118e0-7221-3b81-9b29-aad61f0ede54,140,1070
913b30ca-3e8f-393b-bec9-6683abc6beec,46,5106
aca5b800-d075-333c-9d66-cff7e66be44b,482,355
afb4fefd-ea1e-351e-9021-1531f9234f9a,140,1080
331c1121-b9e7-3ec9-b3aa-b122416e7e3b,85,4235
20ea4d26-d06c-3f21-a31f-b3d7450f384a,482,495
b0796cf4-70ff-3c1e-b063-a9e12c09a6a8,482,374
d1d06510-f11b-37f6-b6c0-ab66f2c27899,469,1651
7735b548-bfc2-3172-a8c1-225f8d427093,482,390
2846a8a5-0eb3-3fa1-9e67-44698898acc6,408,2355
7c1c35d3-9855-3eb7-969d-d76aa3b4cd23,56,122
d549930f-a8e5-381e-a02e-0ebf58e7cc0b,56,22
ce909a8e-57c8-3448-a73e-08868c295975,57,2339
9e3ceaf4-0347-3ba8-b30d-cad0a703f22f,57,2409
08360bbf-2f43-3b8f-bcc5-ed67734d5c75,57,2323
a749c262-3082-3499-8bff-3940a5523776,57,2329
f2b02267-19d7-3588-9854-93fc9d4db544,46,5208
2862051c-ce10-39f2-a2e0-76c0d3f65ecc,57,2319
b3741f2b-7495-37df-ab99-5b1f5522f7bf,46,5322
99c7bc8b-0126-3866-b118-61f16a97b844,46,6121
7e887b9f-ccd5-3766-bd11-edea59728cb8,56,23
699f72f3-71f3-3149-8e0a-ccdbbae84cd9,482,155
5449a881-c12e-34eb-acff-2eb53e0116df,57,2301
df94c788-28af-3d71-9b4f-f3d8f8c9439d,48,B215
83b9aea5-1244-37d8-80bc-bf3e3911ddf9,48,B231
cc80f681-7ef1-3b1f-bb04-741b6a60e2c4,400,L159
632cbb0d-8c40-3b2e-adeb-2307ba1ec546,46,6104
5add7648-6bc1-36ae-ab4b-b8170684a2ae,545,4013
b245416a-1cb2-3cd6-919c-4bde53be2155,545,4018
59db8419-c6b0-3dc2-bde6-312750efa117,567,1110
5320ff98-7a31-3cf2-9ba6-427dbcc943bb,545,4011
b585bd26-dd33-38bf-a69f-8e9f7b7c468d,545,4014
8a986bd1-9faa-3ece-b896-9904c4223d62,1245,49
d5bc555a-6955-3d56-8243-040a3ebc8271,545,4017
44db8797-521f-3104-945a-245853d341b3,1246,138
f6443bdd-0b3d-3133-97db-8572c39162f8,400,151
6b7d01f9-d072-3de9-a508-66ab5c7d0741,545,4041
39445267-557a-3488-91e6-bd07695beb34,545,4035
498cf5ec-34cb-3d87-b771-b0e97efaffb0,154,304
9a15c09e-57d8-3658-ae72-aae5ffdef108,469,2637
831c6173-6722-3464-a9c7-d066b08be7a7,1245,22
eda7ac38-2d95-3114-b675-c49966779d6d,545,4046
2da69d83-787a-3b03-a82b-133026765ef1,469,2251
